"Name","has.star","Title.type","Genre","Run.time","Top.cast","MOVIEmeter","IMDb.Rating","Production.Co.","Year","numvotes","Country","Language","Rating","Genres"
"Once Upon a Time in the Midlands",0,"Movie","Comedy, Drama, Romance",104,"Robert Carlyle, Vanessa Feltz, Ricky Tomlinson",13626,6.2,"FilmFour",2002,49975,"UK","English",2,"Romance"
"Once Upon a Time in the West",1,"Movie","Western",165,"Claudia Cardinale, Henry Fonda, Jason Robards",1111,8.5,"Rafran Cinematografica",1968,327985,"IT","English",3,"Action"
"One Deadly Summer",1,"Movie","Drama, Mystery",133,"Isabelle Adjani, Alain Souchon, Suzanne Flon",8858,7.3,"Société Nouvelle de Cinématographie (SNC)",1983,384653,"FR","French",3,"Drama"
"One Flew Over the Cuckoo's Nest",0,"Movie","Drama",133,"Michael Berryman, Peter Brocco, Alonzo Brown",868,8.7,"Fantasy Films",1975,448197,"US","English",2,"Drama"
"Out of the Past",1,"Movie","Crime, Drama, Film-Noir",97,"Robert Mitchum, Jane Greer, Kirk Douglas",11387,8,"RKO Radio Pictures",1947,272626,"US","English",3,"Horror/Thriller"
"Outlaw",1,"Movie","Action, Crime, Drama",103,"Sean Bean, Danny Dyer, Rupert Friend",31505,5.7,"Pathe Productions",2007,333728,"UK","English",1,"Action"
"Pain and Glory",1,"Movie","Drama",113,"Antonio Banderas, Asier Etxeandia, Leonardo Sbaraglia",5466,7.5,"Canal+",2019,566454,"SP","Spanish",1,"Drama"
"Paint Your Wagon",1,"Movie","Comedy, Drama, Musical",164,"Lee Marvin, Clint Eastwood, Jean Seberg",11605,6.6,"Alan Jay Lerner Productions",1969,381940,"US","English",1,"Light"
"Parasite",0,"Movie","Comedy, Drama, Thriller",132,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Cho",193,8.6,"Barunson E&A",2019,467963,"SK","Korean",4,"Drama"
"Paris, Texas",0,"Movie","Drama",145,"Harry Dean Stanton, Sam Berry, Bernhard Wicki",2635,8.1,"Road Movies Filmproduktion",1984,21180,"GE","English",4,"Romance"
"Paul",0,"Movie","Adventure, Comedy, Sci-Fi",104,"Mia Stallard, Jeremy Owen, Jeffrey Tambor",3328,7,"Universal Pictures",2011,396961,"UK","English",2,"Light"
